4,9,11
34,99,60
56,88,23
24,41,94
14,25,71
90,90,56
23,5,6
81,13,42
94,92,73
89,4,89
11,47,72
97,85,50
24,76,99
66,94,30
62,87,16
28,83,48
93,30,52
67,9,52
62,15,89
79,5,43
50,78,77
68,65,82
94,25,23
43,100,24
8,18,96
87,41,39
25,82,77
91,46,96
44,99,97
99,76,43
90,38,91
90,38,64
54,52,92
68,68,54
53,73,17
31,37,25
58,39,5
87,1,62
92,70,22
98,43,13
100,17,48
21,80,19
45,88,14
31,17,96
80,38,79
80,10,4
34,99,93
97,2,43
9,97,69
64,3,59
15,95,35
100,83,58
68,64,70
32,32,48
7,80,29
79,70,21
73,46,3
64,13,25
94,79,62
1,43,93
6,55,51
88,50,30
93,16,63
93,29,87
31,82,22
13,47,56
95,75,13
92,1,62
18,85,100
95,48,83
4,73,62
65,27,46
19,35,57
4,55,3
62,41,40
65,7,20
67,73,50
22,47,93
83,86,88
53,69,49
87,16,63
15,26,69
50,38,64
39,94,57
49,43,94
74,22,44
87,55,25
16,91,38
87,16,18
79,70,81
36,64,10
3,9,94
101,54,39
23,33,56
24,9,27
82,87,78
34,51,47
42,67,60
63,24,16
71,46,53
50,23,60
32,48,62
67,43,67
27,85,101
62,66,63
97,60,70
26,3,44
15,35,21
36,93,94
53,69,94
97,44,47
82,10,5
91,25,69
30,88,39
99,18,90
71,16,8
46,92,4
71,68,65
54,16,87
56,24,72
57,14,48
66,37,36
77,17,86
30,101,16
57,20,64
5,22,56
94,74,68
99,7,25
100,88,17
82,99,86
19,22,27
80,9,29
51,57,2
75,84,50
97,96,52
76,74,19
70,71,26
94,37,55
61,97,7
12,65,10
20,42,5
64,56,23
74,57,35
74,36,46
75,37,97
11,9,35
65,16,48
48,91,82
53,78,59
64,82,31
57,72,19
100,27,63
59,15,42
101,19,18
30,83,3
84,80,84
65,47,99
17,54,68
48,68,31
65,59,33
62,1,11
59,66,39
69,73,64
46,98,71
36,68,48
77,87,63
95,64,65
71,73,73
21,20,62
16,62,94
92,14,44
19,71,26
77,29,83
14,43,52
37,45,9
94,33,48
32,20,71
26,16,19
89,76,3
3,63,34
4,16,96
94,91,33
29,28,96
70,93,5
29,19,57
68,26,4
37,78,40
43,73,74
21,82,71
88,10,41
97,90,49
6,14,92
12,92,13
58,45,70
49,11,91
79,81,3
30,79,72
29,43,37
82,36,64
76,33,53
29,7,16
55,6,85
88,37,9
66,41,56
25,78,34
26,7,40
46,51,67
88,11,69
67,5,8
50,101,67
66,70,49
50,7,1
92,54,91
30,68,15
52,48,11
46,47,76
92,11,20
4,24,37
1,26,46
101,11,93
41,53,27
79,42,79
41,40,60
55,22,99
95,86,52
82,88,62
13,93,96
21,7,14
42,87,94
32,71,35
96,95,95
62,73,82
82,17,23
69,101,7
36,88,87
70,49,11
11,94,16
14,97,38
52,37,71
54,77,7
31,65,31
